"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R9","0603","965mil","2808mil","965mil","2778mil","965mil","2778mil","T","90.00","39K"
"J1","CONN5","829mil","2987mil","729mil","2987mil","729mil","2987mil","T","360.00","1X5 HEADER"
"C20","0603","370mil","2703mil","340mil","2703mil","340mil","2703mil","T","360.00","15pF"
"C17","0603","340mil","2613mil","340mil","2583mil","340mil","2583mil","T","90.00",".01uF"
"C11","0603","430mil","2523mil","400mil","2523mil","400mil","2523mil","T","360.00",".1uF"
"C15","0603","255mil","2353mil","255mil","2383mil","255mil","2383mil","T","270.00","0.1 uF"
"C18","0603","884.866mil","2140mil","884.866mil","2110mil","884.866mil","2110mil","T","90.00","0.1 uF"
"C24","0603","115mil","2898mil","145mil","2898mil","145mil","2898mil","T","180.00","0.1 uF"
"L3","0603","35mil","2233.937mil","35mil","2263.937mil","35mil","2263.937mil","T","270.00","0.18uH"
"L6","0603","266mil","2622mil","266mil","2592mil","266mil","2592mil","T","90.00","0.33uH"
"R2","0603","340mil","2495mil","340mil","2525mil","340mil","2525mil","T","270.00","1 M"
"R17","0603","236mil","2820mil","266mil","2820mil","266mil","2820mil","T","180.00","2K"
"R12","0603","153mil","2794mil","153mil","2764mil","153mil","2764mil","T","90.00","10"
"R13","0603","23mil","2619mil","23mil","2649mil","23mil","2649mil","T","270.00","10"
"C6","0603","48mil","2341mil","48mil","2311mil","48mil","2311mil","T","90.00","100 pF"
"C7","0603","236mil","2762mil","266mil","2762mil","266mil","2762mil","T","180.00","100 pF"
"C8","0603","285mil","2148mil","255mil","2148mil","255mil","2148mil","T","360.00","1000 pF"
"C9","0603","23mil","2739mil","23mil","2769mil","23mil","2769mil","T","270.00","1000 pF"
"C10","0603","236mil","2702mil","206mil","2702mil","206mil","2702mil","T","0.00","1000 pF"
"C4","0603","940mil","2718mil","970mil","2718mil","970mil","2718mil","T","180.00","10pF"
"C26","0603","900mil","2808mil","900mil","2778mil","900mil","2778mil","T","90.00","15pF"
"C27","0603","819mil","2917mil","789mil","2917mil","789mil","2917mil","T","360.00","15pF"
"R18","0603","610mil","2423mil","640mil","2423mil","640mil","2423mil","T","180.00","1K"
"C2","0603","115mil","2118mil","115mil","2088mil","115mil","2088mil","T","90.00","2 PF"
"C3","0603","83mil","2619mil","83mil","2589mil","83mil","2589mil","T","90.00","2 pF"
"C21","0603","18mil","2521mil","-12mil","2521mil","-12mil","2521mil","T","0.00","1.5pF"
"R6","0603","444.41mil","2113.59mil","444.41mil","2083.59mil","444.41mil","2083.59mil","T","90.00","22"
"R21","0603","610mil","2473mil","640mil","2473mil","640mil","2473mil","T","180.00","220K"
"C14","0603","520mil","2483mil","520mil","2513mil","520mil","2513mil","T","270.00","100pF"
"U4","SO8","627mil","2222mil","552mil","2112mil","552mil","2112mil","T","90.00","24aa256"
"Q3","SOT23_FET","242.5mil","2485mil","280mil","2525mil","242mil","2445mil","T","180.00","2N7002"
"L2","0603","285mil","2088mil","315mil","2088mil","315mil","2088mil","T","180.00","10nH"
"R23","0603","819mil","2697mil","789mil","2697mil","789mil","2697mil","T","360.00","300K"
"Y2","CRYSTAL_ABRACON_ABS07","809mil","2812mil","809mil","2812mil","809mil","2764.756mil","T","90.00","32.768KHZ CRYSTAL"
"C12","0603","370mil","2113.59mil","370mil","2083.59mil","370mil","2083.59mil","T","90.00","33 pF"
"C13","0603","134mil","2705mil","104mil","2705mil","104mil","2705mil","T","360.00","33 pF"
"R20","0603","400mil","2613mil","400mil","2643mil","400mil","2643mil","T","270.00","2.7K"
"R1","0603","819mil","2607mil","789mil","2607mil","789mil","2607mil","T","360.00","39K"
"R10","0603","185mil","2242mil","185mil","2272mil","185mil","2272mil","T","270.00","39K"
"R15","0603","614mil","2532mil","644mil","2532mil","644mil","2532mil","T","180.00","39K"
"R3","0603","939mil","2652mil","909mil","2652mil","909mil","2652mil","T","360.00","39K"
"R4","0603","609mil","2982mil","639mil","2982mil","639mil","2982mil","T","180.00","39K"
"R5","0603","879mil","2342mil","909mil","2342mil","909mil","2342mil","T","180.00","39K"
"R8","0603","254mil","2248mil","254mil","2218mil","254mil","2218mil","T","90.00","4.7 K"
"C19","0603","109mil","2238mil","109mil","2208mil","109mil","2208mil","T","90.00","2.7 pF"
"R14","0603","235mil","2898mil","205mil","2898mil","205mil","2898mil","T","0.00","470"
"R7","0603","185mil","2353mil","185mil","2323mil","185mil","2323mil","T","90.00","6.8K"
"R11","0603","110mil","2358mil","110mil","2328mil","110mil","2328mil","T","90.00","68"
"R16","0603","430mil","2468mil","460mil","2468mil","460mil","2468mil","T","180.00","22K"
"Y1","RESONATOR","396.071mil","2310.468mil","395mil","2307mil","444mil","2392mil","T","0.00","916.5_Resonator"
"R19","0603","834mil","2502mil","804mil","2502mil","804mil","2502mil","T","360.00","2K"
"R24","0603","834mil","2432mil","804mil","2432mil","804mil","2432mil","T","360.00","100K"
"C22","0603","18mil","2422mil","-12mil","2422mil","-12mil","2422mil","T","0.00","DNS"
"C23","0603","18mil","2472mil","-12mil","2472mil","-12mil","2472mil","T","0.00","DNS"
"U3","SO8_SMALL","796.614mil","2177.575mil","835mil","2271mil","835mil","2271mil","T","180.00","DS1631"
"U6","SC70","950mil","2478mil","950mil","2478mil","975.591mil","2521.307mil","T","180.00","MAX9119EXK+"
"U2","SC70","723mil","2478mil","723mil","2478mil","748.591mil","2521.307mil","T","180.00","MIC861"
"Q1","3_PIN_ULTRA_SUPER_MINI_MOLD","184.685mil","2122.409mil","165mil","2148mil","165mil","2148mil","T","270.00","NE85619"
"Q2","3_PIN_ULTRA_SUPER_MINI_MOLD","180.685mil","2616.409mil","161mil","2642mil","161mil","2642mil","T","270.00","NE85619"
"U1","SSOP20_WIDE","596.842mil","2749.457mil","712mil","2903mil","712mil","2903mil","T","180.00","PIC16F690"
"U5","SOT23-5A","372.5mil","2858mil","335mil","2808mil","335mil","2808mil","T","90.00","TC1070"
"R26","0603","939mil","2592mil","969mil","2592mil","969mil","2592mil","T","180.00","4.7M"
"L1","0603","60mil","2118mil","60mil","2148mil","60mil","2148mil","T","270.00","2.7nH"
"E2","Antenna1","0mil","2118mil","0mil","2118mil","0mil","2118mil","T","0.00","#NAME?"
"E3","Antenna1","22mil","2892mil","22mil","2892mil","22mil","2892mil","T","0.00","#NAME?"
"EH2","EH_D0500P1000","449mil","2982mil","449mil","2982mil","449mil","2982mil","T","90.00","#NAME?"
"EH1","EH_D0500P1000","509mil","2982mil","509mil","2982mil","509mil","2982mil","T","0.00","#NAME?"
"B1","BATT_HOLDER1","484.157mil","2487mil","494mil","2487mil","60.929mil","2487mil","B","270.00","BATT HOLDER COIN CR2032 CUT"
"R9","0603","2113mil","690mil","2113mil","660mil","2113mil","660mil","T","90.00","39K"
"J1","CONN5","1977mil","869mil","1877mil","869mil","1877mil","869mil","T","360.00","1X5 HEADER"
"C20","0603","1518mil","585mil","1488mil","585mil","1488mil","585mil","T","360.00","15pF"
"C17","0603","1488mil","495mil","1488mil","465mil","1488mil","465mil","T","90.00",".01uF"
"C11","0603","1578mil","405mil","1548mil","405mil","1548mil","405mil","T","360.00",".1uF"
"C15","0603","1403mil","235mil","1403mil","265mil","1403mil","265mil","T","270.00","0.1 uF"
"C18","0603","2032.866mil","22mil","2032.866mil","-8mil","2032.866mil","-8mil","T","90.00","0.1 uF"
"C24","0603","1263mil","780mil","1293mil","780mil","1293mil","780mil","T","180.00","0.1 uF"
"L3","0603","1183mil","115.937mil","1183mil","145.937mil","1183mil","145.937mil","T","270.00","0.18uH"
"L6","0603","1414mil","504mil","1414mil","474mil","1414mil","474mil","T","90.00","0.33uH"
"R2","0603","1488mil","377mil","1488mil","407mil","1488mil","407mil","T","270.00","1 M"
"R17","0603","1384mil","702mil","1414mil","702mil","1414mil","702mil","T","180.00","2K"
"R12","0603","1301mil","676mil","1301mil","646mil","1301mil","646mil","T","90.00","10"
"R13","0603","1171mil","501mil","1171mil","531mil","1171mil","531mil","T","270.00","10"
"C6","0603","1196mil","223mil","1196mil","193mil","1196mil","193mil","T","90.00","100 pF"
"C7","0603","1384mil","644mil","1414mil","644mil","1414mil","644mil","T","180.00","100 pF"
"C8","0603","1433mil","30mil","1403mil","30mil","1403mil","30mil","T","360.00","1000 pF"
"C9","0603","1171mil","621mil","1171mil","651mil","1171mil","651mil","T","270.00","1000 pF"
"C10","0603","1384mil","584mil","1354mil","584mil","1354mil","584mil","T","0.00","1000 pF"
"C4","0603","2088mil","600mil","2118mil","600mil","2118mil","600mil","T","180.00","10pF"
"C26","0603","2048mil","690mil","2048mil","660mil","2048mil","660mil","T","90.00","15pF"
"C27","0603","1967mil","799mil","1937mil","799mil","1937mil","799mil","T","360.00","15pF"
"R18","0603","1758mil","305mil","1788mil","305mil","1788mil","305mil","T","180.00","1K"
"C2","0603","1263mil","0mil","1263mil","-30mil","1263mil","-30mil","T","90.00","2 PF"
"C3","0603","1231mil","501mil","1231mil","471mil","1231mil","471mil","T","90.00","2 pF"
"C21","0603","1166mil","403mil","1136mil","403mil","1136mil","403mil","T","0.00","1.5pF"
"R6","0603","1592.41mil","-4.41mil","1592.41mil","-34.41mil","1592.41mil","-34.41mil","T","90.00","22"
"R21","0603","1758mil","355mil","1788mil","355mil","1788mil","355mil","T","180.00","220K"
"C14","0603","1668mil","365mil","1668mil","395mil","1668mil","395mil","T","270.00","100pF"
"U4","SO8","1775mil","104mil","1700mil","-6mil","1700mil","-6mil","T","90.00","24aa256"
"Q3","SOT23_FET","1390.5mil","367mil","1428mil","407mil","1390mil","327mil","T","180.00","2N7002"
"L2","0603","1433mil","-30mil","1463mil","-30mil","1463mil","-30mil","T","180.00","10nH"
"R23","0603","1967mil","579mil","1937mil","579mil","1937mil","579mil","T","360.00","300K"
"Y2","CRYSTAL_ABRACON_ABS07","1957mil","694mil","1957mil","694mil","1957mil","646.756mil","T","90.00","32.768KHZ CRYSTAL"
"C12","0603","1518mil","-4.41mil","1518mil","-34.41mil","1518mil","-34.41mil","T","90.00","33 pF"
"C13","0603","1282mil","587mil","1252mil","587mil","1252mil","587mil","T","360.00","33 pF"
"R20","0603","1548mil","495mil","1548mil","525mil","1548mil","525mil","T","270.00","2.7K"
"R1","0603","1967mil","489mil","1937mil","489mil","1937mil","489mil","T","360.00","39K"
"R10","0603","1333mil","124mil","1333mil","154mil","1333mil","154mil","T","270.00","39K"
"R15","0603","1762mil","414mil","1792mil","414mil","1792mil","414mil","T","180.00","39K"
"R3","0603","2087mil","534mil","2057mil","534mil","2057mil","534mil","T","360.00","39K"
"R4","0603","1757mil","864mil","1787mil","864mil","1787mil","864mil","T","180.00","39K"
"R5","0603","2027mil","224mil","2057mil","224mil","2057mil","224mil","T","180.00","39K"
"R8","0603","1402mil","130mil","1402mil","100mil","1402mil","100mil","T","90.00","4.7 K"
"C19","0603","1257mil","120mil","1257mil","90mil","1257mil","90mil","T","90.00","2.7 pF"
"R14","0603","1383mil","780mil","1353mil","780mil","1353mil","780mil","T","0.00","470"
